=== Harami — аудит сигналов (OHLC паттерна и день t+1) ===

Столбцы:
  day_tm1 / day_t — свечи паттерна (t−1 и t); day_signal — день оценки доходности (t+1).
  body_* — |close−open|; body_t_inside_tm1 — тело t внутри тела t−1.
  price_up / price_down — return_pct_signal > 0 / < 0 (колонки «Цена росла» / «Цена падала»).

Всего строк (событий): 18638

pair	signal	day_tm1	open_tm1	close_tm1	high_tm1	low_tm1	body_tm1	day_t	open_t	close_t	high_t	low_t	body_t	body_t_inside_tm1	day_signal	open_signal	close_signal	return_pct_signal	price_up	price_down
1000luncusdt	Bearish Harami	2023-01-02	0.15009999	0.1594	0.1618	0.1471	0.0093000084	2023-01-03	0.1594	0.1558	0.16859999	0.15019999	0.0036000013	1	2023-01-04	0.1558	0.15800001	1.412072	1	0
1000luncusdt	Bullish Harami	2023-01-03	0.1594	0.1558	0.16859999	0.15019999	0.0036000013	2023-01-04	0.1558	0.15800001	0.16159999	0.15440001	0.0022000074	1	2023-01-05	0.15800001	0.15189999	-3.860768	0	1
1000luncusdt	Bullish Harami	2023-01-05	0.15800001	0.15189999	0.1602	0.15099999	0.0061000139	2023-01-06	0.15189999	0.1558	0.1566	0.1478	0.0039000064	1	2023-01-07	0.1558	0.1532	-1.668806	0	1
1000luncusdt	Bearish Harami	2023-01-06	0.15189999	0.1558	0.1566	0.1478	0.0039000064	2023-01-07	0.1558	0.1532	0.1567	0.1523	0.0025999993	1	2023-01-08	0.1532	0.1582	3.263704	1	0
1000luncusdt	Bearish Harami	2023-01-09	0.1582	0.16940001	0.1851	0.1573	0.011200011	2023-01-10	0.16940001	0.1664	0.1733	0.1612	0.0030000061	1	2023-01-11	0.1664	0.16500001	-0.841342	0	1
1000luncusdt	Bearish Harami	2023-01-13	0.1683	0.1769	0.17990001	0.1666	0.0085999966	2023-01-14	0.1769	0.17649999	0.1961	0.15260001	0.00040000677	1	2023-01-15	0.17649999	0.1807	2.379610	1	0
1000luncusdt	Bearish Harami	2023-01-15	0.17649999	0.1807	0.1869	0.171	0.0042000115	2023-01-16	0.1807	0.1769	0.1846	0.17129999	0.0038000047	1	2023-01-17	0.1769	0.1743	-1.469757	0	1
1000luncusdt	Bullish Harami	2023-01-18	0.1743	0.16159999	0.1807	0.15350001	0.012700006	2023-01-19	0.16159999	0.1735	0.178	0.15800001	0.011900008	1	2023-01-20	0.1735	0.17900001	3.170031	1	0
1000luncusdt	Bullish Harami	2023-01-24	0.17900001	0.17	0.18089999	0.1644	0.0090000033	2023-01-25	0.17	0.1733	0.17649999	0.1665	0.0032999963	1	2023-01-26	0.1733	0.1717	-0.923253	0	1
1000luncusdt	Bearish Harami	2023-01-25	0.17	0.1733	0.17649999	0.1665	0.0032999963	2023-01-26	0.1733	0.1717	0.176	0.1691	0.0015999973	1	2023-01-27	0.1717	0.1725	0.465928	1	0
1000luncusdt	Bullish Harami	2023-01-26	0.1733	0.1717	0.176	0.1691	0.0015999973	2023-01-27	0.1717	0.1725	0.1743	0.16769999	0.00079999864	1	2023-01-28	0.1725	0.1735	0.579711	1	0
