=== LightGBM learning curve (binary_logloss) ===
train_period: 2022-01-01T00:00:00+00:00 .. 2024-04-01T00:00:00+00:00
eval_period: 2024-04-01T00:00:00+00:00 .. 2026-05-31T00:00:00+00:00
fit_rows: 31917
eval_rows: 38073
best_iteration: 64

iteration	train_logloss	eval_logloss	best
1	0.692741	0.693261	
2	0.692378	0.693091	
3	0.692023	0.692865	
4	0.691687	0.692690	
5	0.691365	0.692493	
6	0.691058	0.692304	
7	0.690769	0.692133	
8	0.690443	0.692038	
9	0.690176	0.691891	
10	0.689876	0.691813	
11	0.689622	0.691664	
12	0.689344	0.691614	
13	0.689109	0.691478	
14	0.688886	0.691361	
15	0.688664	0.691324	
16	0.688424	0.691250	
17	0.688226	0.691159	
18	0.688010	0.691124	
19	0.687811	0.691084	
20	0.687620	0.690962	
21	0.687410	0.690921	
22	0.687233	0.690829	
23	0.687068	0.690825	
24	0.686872	0.690794	
25	0.686708	0.690794	
26	0.686544	0.690694	
27	0.686398	0.690686	
28	0.686245	0.690619	
29	0.686087	0.690595	
30	0.685953	0.690599	
31	0.685828	0.690604	
32	0.685665	0.690576	
33	0.685538	0.690593	
34	0.685388	0.690559	
35	0.685254	0.690494	
36	0.685150	0.690499	
37	0.685023	0.690505	
38	0.684876	0.690451	
39	0.684758	0.690403	
40	0.684609	0.690370	
41	0.684477	0.690384	
42	0.684351	0.690412	
43	0.684232	0.690425	
44	0.684140	0.690429	
45	0.684008	0.690372	
46	0.683857	0.690345	
47	0.683749	0.690330	
48	0.683638	0.690302	
49	0.683538	0.690308	
50	0.683428	0.690341	
51	0.683295	0.690311	
52	0.683189	0.690307	
53	0.683079	0.690309	
54	0.682991	0.690312	
55	0.682883	0.690282	
56	0.682791	0.690293	
57	0.682668	0.690281	
58	0.682593	0.690272	
59	0.682492	0.690251	
60	0.682396	0.690237	
61	0.682324	0.690219	
62	0.682243	0.690225	
63	0.682146	0.690232	
64	0.682036	0.690217	*
65	0.681957	0.690234	
66	0.681870	0.690244	
67	0.681784	0.690286	
68	0.681680	0.690277	
69	0.681584	0.690284	
70	0.681515	0.690305	
71	0.681424	0.690349	
72	0.681369	0.690332	
73	0.681281	0.690341	
74	0.681198	0.690310	
75	0.681126	0.690325	
76	0.681042	0.690335	
77	0.680957	0.690376	
78	0.680857	0.690381	
79	0.680778	0.690405	
80	0.680738	0.690396	
81	0.680659	0.690409	
82	0.680563	0.690412	
83	0.680513	0.690410	
84	0.680437	0.690451	
85	0.680346	0.690470	
86	0.680264	0.690470	
87	0.680228	0.690461	
88	0.680155	0.690464	
89	0.680104	0.690471	
90	0.680014	0.690492	
91	0.679943	0.690539	
92	0.679861	0.690544	
93	0.679793	0.690570	
94	0.679706	0.690578	
95	0.679642	0.690600	
96	0.679562	0.690614	
97	0.679481	0.690632	
98	0.679425	0.690647	
99	0.679397	0.690625	
100	0.679321	0.690629	
101	0.679262	0.690636	
102	0.679201	0.690659	
103	0.679084	0.690662	
104	0.678987	0.690672	
105	0.678877	0.690674	
106	0.678809	0.690691	
107	0.678734	0.690695	
108	0.678676	0.690737	
109	0.678652	0.690716	
110	0.678579	0.690723	
111	0.678522	0.690757	
112	0.678435	0.690765	
113	0.678381	0.690801	
114	0.678342	0.690814	
