=== LightGBM learning curve (binary_logloss) ===
train_period: 2022-01-01T00:00:00+00:00 .. 2024-04-01T00:00:00+00:00
eval_period: 2024-04-01T00:00:00+00:00 .. 2026-05-31T00:00:00+00:00
fit_rows: 31675
eval_rows: 38001
best_iteration: 44

iteration	train_logloss	eval_logloss	best
1	0.692687	0.693270	
2	0.692273	0.693101	
3	0.691881	0.692939	
4	0.691510	0.692785	
5	0.691161	0.692643	
6	0.690834	0.692535	
7	0.690523	0.692422	
8	0.690229	0.692327	
9	0.689946	0.692240	
10	0.689683	0.692154	
11	0.689427	0.692074	
12	0.689146	0.691975	
13	0.688908	0.691923	
14	0.688651	0.691863	
15	0.688444	0.691832	
16	0.688208	0.691763	
17	0.688016	0.691741	
18	0.687810	0.691670	
19	0.687605	0.691640	
20	0.687424	0.691584	
21	0.687256	0.691542	
22	0.687092	0.691533	
23	0.686943	0.691521	
24	0.686765	0.691515	
25	0.686535	0.691482	
26	0.686298	0.691423	
27	0.686088	0.691404	
28	0.685956	0.691396	
29	0.685742	0.691350	
30	0.685563	0.691341	
31	0.685366	0.691306	
32	0.685204	0.691268	
33	0.685039	0.691224	
34	0.684883	0.691172	
35	0.684733	0.691171	
36	0.684580	0.691167	
37	0.684464	0.691172	
38	0.684303	0.691115	
39	0.684168	0.691124	
40	0.684049	0.691106	
41	0.683912	0.691144	
42	0.683783	0.691133	
43	0.683666	0.691156	
44	0.683542	0.691101	*
45	0.683432	0.691130	
46	0.683322	0.691108	
47	0.683212	0.691149	
48	0.683051	0.691205	
49	0.682950	0.691235	
50	0.682826	0.691246	
51	0.682716	0.691201	
52	0.682616	0.691185	
53	0.682530	0.691200	
54	0.682433	0.691210	
55	0.682352	0.691209	
56	0.682210	0.691269	
57	0.682104	0.691220	
58	0.682028	0.691249	
59	0.681918	0.691289	
60	0.681817	0.691292	
61	0.681722	0.691333	
62	0.681645	0.691347	
63	0.681573	0.691359	
64	0.681449	0.691435	
65	0.681367	0.691400	
66	0.681289	0.691430	
67	0.681194	0.691444	
68	0.681129	0.691467	
69	0.681013	0.691543	
70	0.680920	0.691512	
71	0.680824	0.691513	
72	0.680715	0.691495	
73	0.680642	0.691525	
74	0.680537	0.691561	
75	0.680458	0.691584	
76	0.680368	0.691584	
77	0.680255	0.691580	
78	0.680178	0.691539	
79	0.680125	0.691563	
80	0.680059	0.691594	
81	0.679968	0.691570	
82	0.679868	0.691606	
83	0.679773	0.691634	
84	0.679677	0.691625	
85	0.679616	0.691628	
86	0.679514	0.691664	
87	0.679428	0.691744	
88	0.679341	0.691770	
89	0.679237	0.691766	
90	0.679187	0.691791	
91	0.679109	0.691746	
92	0.679013	0.691764	
93	0.678930	0.691806	
94	0.678880	0.691800	
