=== LightGBM learning curve (binary_logloss) ===
train_period: 2022-01-01T00:00:00+00:00 .. 2024-04-01T00:00:00+00:00
eval_period: 2024-04-01T00:00:00+00:00 .. 2026-05-31T00:00:00+00:00
fit_rows: 31675
eval_rows: 38001
best_iteration: 36

iteration	train_logloss	eval_logloss	best
1	0.692396	0.693121	
2	0.691733	0.692848	
3	0.691127	0.692605	
4	0.690581	0.692400	
5	0.690087	0.692218	
6	0.689635	0.692080	
7	0.689208	0.691958	
8	0.688813	0.691883	
9	0.688392	0.691774	
10	0.688035	0.691649	
11	0.687713	0.691633	
12	0.687380	0.691523	
13	0.687100	0.691450	
14	0.686846	0.691437	
15	0.686453	0.691381	
16	0.686218	0.691391	
17	0.685835	0.691306	
18	0.685523	0.691277	
19	0.685228	0.691335	
20	0.684919	0.691266	
21	0.684657	0.691256	
22	0.684429	0.691282	
23	0.684173	0.691185	
24	0.683960	0.691214	
25	0.683731	0.691196	
26	0.683483	0.691130	
27	0.683255	0.691165	
28	0.683027	0.691131	
29	0.682822	0.691204	
30	0.682624	0.691104	
31	0.682444	0.691111	
32	0.682241	0.691131	
33	0.682095	0.691159	
34	0.681917	0.691171	
35	0.681765	0.691107	
36	0.681610	0.691075	*
37	0.681481	0.691094	
38	0.681260	0.691222	
39	0.681137	0.691248	
40	0.681001	0.691183	
41	0.680833	0.691175	
42	0.680643	0.691161	
43	0.680483	0.691225	
44	0.680328	0.691290	
45	0.680215	0.691327	
46	0.680050	0.691387	
47	0.679896	0.691358	
48	0.679754	0.691373	
49	0.679605	0.691376	
50	0.679487	0.691375	
51	0.679335	0.691449	
52	0.679210	0.691450	
53	0.679085	0.691433	
54	0.678910	0.691563	
55	0.678825	0.691580	
56	0.678720	0.691582	
57	0.678634	0.691629	
58	0.678501	0.691641	
59	0.678428	0.691657	
60	0.678307	0.691719	
61	0.678165	0.691634	
62	0.678042	0.691641	
63	0.677910	0.691671	
64	0.677742	0.691713	
65	0.677491	0.691705	
66	0.677405	0.691724	
67	0.677331	0.691775	
68	0.677256	0.691789	
69	0.677132	0.691911	
70	0.676981	0.691930	
71	0.676824	0.691986	
72	0.676744	0.692024	
73	0.676633	0.692009	
74	0.676529	0.692043	
75	0.676412	0.692088	
76	0.676344	0.692099	
77	0.676296	0.692114	
78	0.676071	0.692109	
79	0.675979	0.692158	
80	0.675923	0.692161	
81	0.675835	0.692191	
82	0.675641	0.692204	
83	0.675599	0.692221	
84	0.675528	0.692193	
85	0.675449	0.692239	
86	0.675390	0.692275	
