=== LightGBM learning curve (binary_logloss) ===
train_period: 2022-01-01T00:00:00+00:00 .. 2024-04-01T00:00:00+00:00
eval_period: 2024-04-01T00:00:00+00:00 .. 2026-05-31T00:00:00+00:00
fit_rows: 31675
eval_rows: 38001
best_iteration: 37

iteration	train_logloss	eval_logloss	best
1	0.692495	0.693142	
2	0.691917	0.692890	
3	0.691397	0.692660	
4	0.690920	0.692484	
5	0.690490	0.692321	
6	0.690093	0.692186	
7	0.689733	0.692085	
8	0.689403	0.692012	
9	0.689042	0.691898	
10	0.688762	0.691838	
11	0.688480	0.691714	
12	0.688196	0.691644	
13	0.687976	0.691658	
14	0.687685	0.691677	
15	0.687396	0.691623	
16	0.687156	0.691610	
17	0.686972	0.691593	
18	0.686700	0.691509	
19	0.686474	0.691558	
20	0.686281	0.691537	
21	0.686121	0.691488	
22	0.685894	0.691510	
23	0.685701	0.691523	
24	0.685554	0.691519	
25	0.685370	0.691494	
26	0.685171	0.691560	
27	0.684967	0.691488	
28	0.684764	0.691518	
29	0.684602	0.691400	
30	0.684456	0.691353	
31	0.684296	0.691334	
32	0.684129	0.691358	
33	0.683973	0.691375	
34	0.683867	0.691336	
35	0.683754	0.691312	
36	0.683641	0.691245	
37	0.683518	0.691209	*
38	0.683373	0.691317	
39	0.683285	0.691345	
40	0.683145	0.691375	
41	0.683053	0.691397	
42	0.682924	0.691444	
43	0.682804	0.691420	
44	0.682705	0.691437	
45	0.682589	0.691440	
46	0.682486	0.691358	
47	0.682350	0.691402	
48	0.682262	0.691405	
49	0.682187	0.691403	
50	0.682077	0.691417	
51	0.682002	0.691440	
52	0.681921	0.691461	
53	0.681812	0.691503	
54	0.681687	0.691511	
55	0.681578	0.691623	
56	0.681486	0.691596	
57	0.681370	0.691576	
58	0.681308	0.691606	
59	0.681227	0.691634	
60	0.681104	0.691646	
61	0.681007	0.691710	
62	0.680926	0.691683	
63	0.680841	0.691705	
64	0.680727	0.691736	
65	0.680546	0.691734	
66	0.680475	0.691765	
67	0.680419	0.691783	
68	0.680357	0.691777	
69	0.680296	0.691761	
70	0.680238	0.691759	
71	0.680161	0.691788	
72	0.680076	0.691777	
73	0.680013	0.691808	
74	0.679943	0.691801	
75	0.679876	0.691809	
76	0.679825	0.691827	
77	0.679667	0.691805	
78	0.679562	0.691816	
79	0.679519	0.691824	
80	0.679357	0.691829	
81	0.679257	0.691871	
82	0.679159	0.691913	
83	0.679097	0.691923	
84	0.679062	0.691928	
85	0.678993	0.691957	
86	0.678908	0.691944	
87	0.678859	0.691978	
