=== LightGBM learning curve (binary_logloss) ===
train_period: 2022-01-01T00:00:00+00:00 .. 2024-04-01T00:00:00+00:00
eval_period: 2024-04-01T00:00:00+00:00 .. 2026-05-31T00:00:00+00:00
fit_rows: 31675
eval_rows: 38001
best_iteration: 31

iteration	train_logloss	eval_logloss	best
1	0.692397	0.693162	
2	0.691732	0.692867	
3	0.691136	0.692627	
4	0.690597	0.692410	
5	0.690099	0.692240	
6	0.689651	0.692094	
7	0.689229	0.691962	
8	0.688780	0.691837	
9	0.688415	0.691742	
10	0.688084	0.691679	
11	0.687713	0.691608	
12	0.687406	0.691515	
13	0.687139	0.691480	
14	0.686892	0.691479	
15	0.686503	0.691425	
16	0.686243	0.691351	
17	0.685861	0.691264	
18	0.685533	0.691240	
19	0.685244	0.691291	
20	0.684938	0.691169	
21	0.684694	0.691171	
22	0.684437	0.691105	
23	0.684206	0.691110	
24	0.683973	0.691049	
25	0.683767	0.691082	
26	0.683526	0.691018	
27	0.683345	0.691062	
28	0.683138	0.691081	
29	0.682937	0.691025	
30	0.682791	0.691045	
31	0.682616	0.690956	*
32	0.682446	0.690980	
33	0.682275	0.691047	
34	0.682096	0.691090	
35	0.681969	0.691096	
36	0.681747	0.691222	
37	0.681599	0.691239	
38	0.681395	0.691222	
39	0.681229	0.691155	
40	0.681043	0.691221	
41	0.680902	0.691262	
42	0.680729	0.691244	
43	0.680620	0.691264	
44	0.680467	0.691341	
45	0.680373	0.691368	
46	0.680282	0.691396	
47	0.680108	0.691417	
48	0.679954	0.691420	
49	0.679868	0.691436	
50	0.679745	0.691436	
51	0.679605	0.691511	
52	0.679424	0.691637	
53	0.679293	0.691598	
54	0.679121	0.691663	
55	0.679007	0.691661	
56	0.678929	0.691694	
57	0.678782	0.691702	
58	0.678661	0.691687	
59	0.678505	0.691740	
60	0.678356	0.691784	
61	0.678254	0.691783	
62	0.678156	0.691770	
63	0.678039	0.691764	
64	0.677901	0.691843	
65	0.677746	0.691908	
66	0.677635	0.691975	
67	0.677542	0.691988	
68	0.677433	0.691962	
69	0.677299	0.691996	
70	0.677210	0.692030	
71	0.677090	0.692077	
72	0.676990	0.692121	
73	0.676888	0.692121	
74	0.676797	0.692165	
75	0.676747	0.692151	
76	0.676516	0.692147	
77	0.676430	0.692188	
78	0.676386	0.692199	
79	0.676308	0.692246	
80	0.676251	0.692262	
81	0.676184	0.692296	
