=== LightGBM learning curve (binary_logloss) ===
train_period: 2022-01-01T00:00:00+00:00 .. 2024-04-01T00:00:00+00:00
eval_period: 2024-04-01T00:00:00+00:00 .. 2026-05-31T00:00:00+00:00
fit_rows: 29730
eval_rows: 36047
best_iteration: 45

iteration	train_logloss	eval_logloss	best
1	0.692709	0.693090	
2	0.692300	0.692933	
3	0.691912	0.692808	
4	0.691547	0.692687	
5	0.691202	0.692585	
6	0.690875	0.692498	
7	0.690568	0.692420	
8	0.690277	0.692337	
9	0.689998	0.692265	
10	0.689736	0.692213	
11	0.689489	0.692176	
12	0.689210	0.692131	
13	0.688975	0.692104	
14	0.688722	0.692081	
15	0.688509	0.692067	
16	0.688278	0.692054	
17	0.688067	0.691997	
18	0.687856	0.691963	
19	0.687680	0.691953	
20	0.687485	0.691944	
21	0.687319	0.691952	
22	0.687129	0.691934	
23	0.686962	0.691901	
24	0.686793	0.691887	
25	0.686547	0.691931	
26	0.686315	0.692000	
27	0.686081	0.691944	
28	0.685927	0.691942	
29	0.685714	0.691904	
30	0.685518	0.691824	
31	0.685381	0.691847	
32	0.685185	0.691930	
33	0.685007	0.691867	
34	0.684875	0.691877	
35	0.684691	0.691807	
36	0.684528	0.691770	
37	0.684415	0.691810	
38	0.684262	0.691823	
39	0.684097	0.691755	
40	0.683982	0.691771	
41	0.683841	0.691792	
42	0.683738	0.691789	
43	0.683588	0.691792	
44	0.683457	0.691803	
45	0.683313	0.691731	*
46	0.683190	0.691749	
47	0.683080	0.691772	
48	0.682930	0.691808	
49	0.682797	0.691759	
50	0.682663	0.691782	
51	0.682550	0.691803	
52	0.682395	0.691799	
53	0.682258	0.691840	
54	0.682135	0.691821	
55	0.682030	0.691847	
56	0.681928	0.691825	
57	0.681834	0.691855	
58	0.681696	0.691866	
59	0.681601	0.691848	
60	0.681515	0.691847	
61	0.681409	0.691882	
62	0.681312	0.691912	
63	0.681196	0.691885	
64	0.681098	0.691903	
65	0.681009	0.691937	
66	0.680924	0.691940	
67	0.680804	0.691943	
68	0.680708	0.691982	
69	0.680607	0.691997	
70	0.680494	0.692002	
71	0.680397	0.692010	
72	0.680306	0.692048	
73	0.680188	0.692129	
74	0.680076	0.692144	
75	0.679994	0.692159	
76	0.679918	0.692165	
77	0.679819	0.692232	
78	0.679735	0.692275	
79	0.679658	0.692289	
80	0.679553	0.692294	
81	0.679460	0.692275	
82	0.679342	0.692297	
83	0.679243	0.692298	
84	0.679142	0.692313	
85	0.679062	0.692329	
86	0.678985	0.692326	
87	0.678899	0.692332	
88	0.678797	0.692347	
89	0.678699	0.692362	
90	0.678645	0.692373	
91	0.678541	0.692356	
92	0.678466	0.692376	
93	0.678370	0.692401	
94	0.678285	0.692423	
95	0.678207	0.692437	
