=== LightGBM learning curve (binary_logloss) ===
train_period: 2022-01-01T00:00:00+00:00 .. 2024-04-01T00:00:00+00:00
eval_period: 2024-04-01T00:00:00+00:00 .. 2026-05-31T00:00:00+00:00
fit_rows: 29957
eval_rows: 36113
best_iteration: 43

iteration	train_logloss	eval_logloss	best
1	0.692778	0.693000	
2	0.692432	0.692773	
3	0.692120	0.692647	
4	0.691804	0.692447	
5	0.691519	0.692344	
6	0.691210	0.692255	
7	0.690940	0.692127	
8	0.690693	0.692051	
9	0.690418	0.691986	
10	0.690145	0.691831	
11	0.689916	0.691715	
12	0.689671	0.691661	
13	0.689432	0.691530	
14	0.689226	0.691435	
15	0.689003	0.691377	
16	0.688774	0.691250	
17	0.688555	0.691207	
18	0.688350	0.691102	
19	0.688176	0.691051	
20	0.687949	0.690949	
21	0.687761	0.690922	
22	0.687599	0.690893	
23	0.687436	0.690877	
24	0.687248	0.690816	
25	0.687054	0.690772	
26	0.686904	0.690744	
27	0.686758	0.690753	
28	0.686636	0.690734	
29	0.686460	0.690707	
30	0.686297	0.690638	
31	0.686153	0.690623	
32	0.686031	0.690648	
33	0.685896	0.690637	
34	0.685725	0.690585	
35	0.685578	0.690552	
36	0.685454	0.690535	
37	0.685328	0.690564	
38	0.685192	0.690515	
39	0.685058	0.690491	
40	0.684941	0.690475	
41	0.684829	0.690455	
42	0.684710	0.690474	
43	0.684588	0.690452	*
44	0.684458	0.690454	
45	0.684334	0.690456	
46	0.684227	0.690492	
47	0.684113	0.690474	
48	0.684011	0.690466	
49	0.683895	0.690464	
50	0.683801	0.690506	
51	0.683679	0.690516	
52	0.683578	0.690511	
53	0.683483	0.690500	
54	0.683381	0.690496	
55	0.683280	0.690527	
56	0.683184	0.690525	
57	0.683078	0.690512	
58	0.682965	0.690513	
59	0.682878	0.690540	
60	0.682800	0.690551	
61	0.682707	0.690585	
62	0.682628	0.690574	
63	0.682528	0.690580	
64	0.682430	0.690570	
65	0.682351	0.690618	
66	0.682291	0.690639	
67	0.682185	0.690653	
68	0.682085	0.690660	
69	0.681971	0.690649	
70	0.681913	0.690680	
71	0.681824	0.690661	
72	0.681749	0.690674	
73	0.681638	0.690664	
74	0.681583	0.690679	
75	0.681475	0.690670	
76	0.681368	0.690678	
77	0.681270	0.690679	
78	0.681214	0.690666	
79	0.681130	0.690706	
80	0.681052	0.690705	
81	0.680972	0.690695	
82	0.680894	0.690721	
83	0.680827	0.690751	
84	0.680724	0.690752	
85	0.680643	0.690758	
86	0.680544	0.690756	
87	0.680428	0.690748	
88	0.680343	0.690762	
89	0.680287	0.690768	
90	0.680222	0.690793	
91	0.680113	0.690792	
92	0.680065	0.690789	
93	0.680011	0.690824	
