=== LightGBM learning curve (binary_logloss) ===
train_period: 2022-01-01T00:00:00+00:00 .. 2024-04-01T00:00:00+00:00
eval_period: 2024-04-01T00:00:00+00:00 .. 2026-05-31T00:00:00+00:00
fit_rows: 31966
eval_rows: 38122
best_iteration: 46

iteration	train_logloss	eval_logloss	best
1	0.692844	0.693336	
2	0.692579	0.693193	
3	0.692218	0.692956	
4	0.691878	0.692737	
5	0.691558	0.692535	
6	0.691254	0.692353	
7	0.690964	0.692184	
8	0.690692	0.692029	
9	0.690432	0.691877	
10	0.690187	0.691749	
11	0.689948	0.691611	
12	0.689766	0.691566	
13	0.689543	0.691475	
14	0.689373	0.691456	
15	0.689213	0.691428	
16	0.689038	0.691346	
17	0.688837	0.691272	
18	0.688685	0.691255	
19	0.688526	0.691185	
20	0.688390	0.691165	
21	0.688243	0.691105	
22	0.688063	0.691046	
23	0.687940	0.691029	
24	0.687795	0.690958	
25	0.687635	0.690926	
26	0.687521	0.690938	
27	0.687383	0.690870	
28	0.687273	0.690868	
29	0.687144	0.690809	
30	0.686999	0.690788	
31	0.686884	0.690749	
32	0.686789	0.690764	
33	0.686675	0.690723	
34	0.686584	0.690727	
35	0.686453	0.690697	
36	0.686347	0.690660	
37	0.686255	0.690677	
38	0.686123	0.690638	
39	0.686031	0.690607	
40	0.685937	0.690581	
41	0.685861	0.690589	
42	0.685731	0.690586	
43	0.685627	0.690562	
44	0.685548	0.690584	
45	0.685470	0.690573	
46	0.685388	0.690560	*
47	0.685316	0.690580	
48	0.685198	0.690588	
49	0.685123	0.690575	
50	0.685035	0.690566	
51	0.684967	0.690590	
52	0.684865	0.690585	
53	0.684795	0.690574	
54	0.684732	0.690570	
55	0.684672	0.690594	
56	0.684579	0.690588	
57	0.684516	0.690578	
58	0.684452	0.690570	
59	0.684389	0.690569	
60	0.684290	0.690594	
61	0.684233	0.690587	
62	0.684177	0.690590	
63	0.684088	0.690596	
64	0.684037	0.690598	
65	0.683977	0.690607	
66	0.683894	0.690616	
67	0.683843	0.690610	
68	0.683793	0.690638	
69	0.683706	0.690667	
70	0.683656	0.690676	
71	0.683610	0.690669	
72	0.683508	0.690660	
73	0.683460	0.690657	
74	0.683392	0.690644	
75	0.683350	0.690650	
76	0.683314	0.690662	
77	0.683228	0.690682	
78	0.683186	0.690688	
79	0.683142	0.690695	
80	0.683101	0.690701	
81	0.683026	0.690710	
82	0.682985	0.690741	
83	0.682894	0.690741	
84	0.682857	0.690754	
85	0.682812	0.690777	
86	0.682765	0.690817	
87	0.682680	0.690822	
88	0.682609	0.690844	
89	0.682576	0.690853	
90	0.682520	0.690874	
91	0.682484	0.690904	
92	0.682418	0.690926	
93	0.682384	0.690929	
94	0.682320	0.690937	
95	0.682283	0.690973	
96	0.682222	0.690979	
