=== LightGBM learning curve (binary_logloss) ===
train_period: 2022-01-01T00:00:00+00:00 .. 2024-04-01T00:00:00+00:00
eval_period: 2024-04-01T00:00:00+00:00 .. 2026-05-31T00:00:00+00:00
fit_rows: 29730
eval_rows: 36047
best_iteration: 38

iteration	train_logloss	eval_logloss	best
1	0.692729	0.693064	
2	0.692340	0.692919	
3	0.691971	0.692774	
4	0.691622	0.692636	
5	0.691274	0.692521	
6	0.690960	0.692419	
7	0.690662	0.692348	
8	0.690356	0.692267	
9	0.690089	0.692211	
10	0.689822	0.692151	
11	0.689564	0.692092	
12	0.689336	0.692043	
13	0.689116	0.691997	
14	0.688894	0.691961	
15	0.688670	0.691898	
16	0.688468	0.691878	
17	0.688288	0.691867	
18	0.688080	0.691853	
19	0.687914	0.691837	
20	0.687720	0.691845	
21	0.687560	0.691824	
22	0.687399	0.691831	
23	0.687227	0.691819	
24	0.687008	0.691744	
25	0.686839	0.691740	
26	0.686638	0.691673	
27	0.686485	0.691680	
28	0.686297	0.691626	
29	0.686158	0.691604	
30	0.686006	0.691641	
31	0.685832	0.691591	
32	0.685667	0.691554	
33	0.685541	0.691548	
34	0.685385	0.691509	
35	0.685267	0.691508	
36	0.685116	0.691525	
37	0.684972	0.691497	
38	0.684864	0.691484	*
39	0.684724	0.691504	
40	0.684611	0.691495	
41	0.684510	0.691504	
42	0.684381	0.691523	
43	0.684286	0.691533	
44	0.684151	0.691515	
45	0.684029	0.691502	
46	0.683942	0.691514	
47	0.683823	0.691539	
48	0.683720	0.691541	
49	0.683616	0.691536	
50	0.683505	0.691571	
51	0.683385	0.691553	
52	0.683301	0.691578	
53	0.683196	0.691605	
54	0.683108	0.691611	
55	0.683025	0.691604	
56	0.682929	0.691630	
57	0.682823	0.691627	
58	0.682736	0.691628	
59	0.682642	0.691659	
60	0.682553	0.691696	
61	0.682466	0.691739	
62	0.682266	0.691676	
63	0.682163	0.691695	
64	0.682075	0.691723	
65	0.681985	0.691764	
66	0.681907	0.691764	
67	0.681826	0.691832	
68	0.681640	0.691778	
69	0.681549	0.691816	
70	0.681473	0.691830	
71	0.681366	0.691829	
72	0.681291	0.691831	
73	0.681219	0.691850	
74	0.681046	0.691812	
75	0.680961	0.691850	
76	0.680903	0.691881	
77	0.680835	0.691915	
78	0.680773	0.691922	
79	0.680610	0.691881	
80	0.680552	0.691910	
81	0.680460	0.691920	
82	0.680394	0.691938	
83	0.680241	0.691914	
84	0.680191	0.691948	
85	0.680106	0.691964	
86	0.680043	0.691991	
87	0.679994	0.692007	
88	0.679944	0.692028	
