=== LightGBM learning curve (binary_logloss) ===
train_period: 2022-01-01T00:00:00+00:00 .. 2024-04-01T00:00:00+00:00
eval_period: 2024-04-01T00:00:00+00:00 .. 2026-05-31T00:00:00+00:00
fit_rows: 32407
eval_rows: 38563
best_iteration: 60

iteration	train_logloss	eval_logloss	best
1	0.692981	0.693341	
2	0.692841	0.693255	
3	0.692712	0.693137	
4	0.692589	0.693050	
5	0.692471	0.692981	
6	0.692361	0.692910	
7	0.692258	0.692841	
8	0.692157	0.692792	
9	0.692064	0.692734	
10	0.691959	0.692670	
11	0.691873	0.692609	
12	0.691788	0.692569	
13	0.691712	0.692520	
14	0.691635	0.692489	
15	0.691546	0.692441	
16	0.691464	0.692395	
17	0.691399	0.692366	
18	0.691321	0.692323	
19	0.691259	0.692300	
20	0.691184	0.692240	
21	0.691113	0.692224	
22	0.691038	0.692169	
23	0.690966	0.692118	
24	0.690916	0.692099	
25	0.690849	0.692055	
26	0.690787	0.692013	
27	0.690740	0.692002	
28	0.690681	0.691963	
29	0.690637	0.691947	
30	0.690583	0.691928	
31	0.690532	0.691901	
32	0.690495	0.691883	
33	0.690447	0.691862	
34	0.690410	0.691860	
35	0.690372	0.691851	
36	0.690330	0.691824	
37	0.690287	0.691808	
38	0.690253	0.691801	
39	0.690214	0.691796	
40	0.690183	0.691789	
41	0.690145	0.691779	
42	0.690117	0.691768	
43	0.690083	0.691756	
44	0.690051	0.691745	
45	0.690018	0.691731	
46	0.689989	0.691723	
47	0.689961	0.691712	
48	0.689934	0.691706	
49	0.689905	0.691701	
50	0.689885	0.691697	
51	0.689861	0.691691	
52	0.689838	0.691686	
53	0.689815	0.691683	
54	0.689797	0.691679	
55	0.689771	0.691672	
56	0.689750	0.691666	
57	0.689729	0.691655	
58	0.689705	0.691663	
59	0.689686	0.691659	
60	0.689662	0.691653	*
61	0.689639	0.691662	
62	0.689619	0.691670	
63	0.689601	0.691669	
64	0.689579	0.691684	
65	0.689563	0.691692	
66	0.689547	0.691687	
67	0.689527	0.691696	
68	0.689509	0.691689	
69	0.689490	0.691699	
70	0.689474	0.691707	
71	0.689458	0.691714	
72	0.689444	0.691709	
73	0.689430	0.691706	
74	0.689416	0.691706	
75	0.689399	0.691714	
76	0.689387	0.691719	
77	0.689374	0.691716	
78	0.689362	0.691723	
79	0.689348	0.691719	
80	0.689335	0.691721	
81	0.689324	0.691719	
82	0.689313	0.691724	
83	0.689300	0.691721	
84	0.689287	0.691723	
85	0.689277	0.691724	
86	0.689267	0.691730	
87	0.689256	0.691733	
88	0.689234	0.691727	
89	0.689214	0.691724	
90	0.689200	0.691732	
91	0.689180	0.691730	
92	0.689167	0.691738	
93	0.689149	0.691738	
94	0.689136	0.691749	
95	0.689119	0.691747	
96	0.689102	0.691744	
97	0.689091	0.691753	
98	0.689076	0.691758	
99	0.689062	0.691756	
100	0.689052	0.691757	
101	0.689044	0.691757	
102	0.689035	0.691762	
103	0.689024	0.691769	
104	0.689015	0.691773	
105	0.689004	0.691779	
106	0.688996	0.691785	
107	0.688987	0.691792	
108	0.688979	0.691792	
109	0.688971	0.691792	
110	0.688961	0.691798	
