=== LightGBM learning curve (binary_logloss) ===
eval_period: 2023-10-01T00:00:00+00:00 .. 2024-04-01T00:00:00+00:00
fit_rows: 22950
eval_rows: 9016
best_iteration: 12

iteration	train_logloss	eval_logloss	best
1	0.692546	0.694479	
2	0.692141	0.694407	
3	0.691743	0.694337	
4	0.691400	0.694313	
5	0.691052	0.694214	
6	0.690761	0.694239	
7	0.690461	0.694173	
8	0.690203	0.694166	
9	0.689942	0.694193	
10	0.689722	0.694186	
11	0.689509	0.694179	
12	0.689304	0.694163	*
13	0.689101	0.694168	
14	0.688930	0.694188	
15	0.688764	0.694245	
16	0.688606	0.694213	
17	0.688442	0.694293	
18	0.688285	0.694318	
19	0.688154	0.694348	
20	0.688017	0.694362	
21	0.687895	0.694379	
22	0.687771	0.694403	
23	0.687662	0.694457	
24	0.687552	0.694495	
25	0.687452	0.694564	
26	0.687338	0.694602	
27	0.687223	0.694615	
28	0.687132	0.694634	
29	0.687036	0.694640	
30	0.686959	0.694707	
31	0.686877	0.694733	
32	0.686785	0.694719	
33	0.686691	0.694783	
34	0.686613	0.694781	
35	0.686534	0.694754	
36	0.686436	0.694787	
37	0.686354	0.694780	
38	0.686287	0.694784	
39	0.686208	0.694801	
40	0.686138	0.694795	
41	0.686064	0.694786	
42	0.686010	0.694813	
43	0.685955	0.694789	
44	0.685878	0.694799	
45	0.685816	0.694805	
46	0.685763	0.694866	
47	0.685702	0.694874	
48	0.685654	0.694939	
49	0.685598	0.694932	
50	0.685542	0.694956	
51	0.685482	0.694954	
52	0.685425	0.694948	
53	0.685351	0.695007	
54	0.685301	0.695055	
55	0.685267	0.695060	
56	0.685235	0.695066	
57	0.685188	0.695114	
58	0.685140	0.695124	
59	0.685103	0.695135	
60	0.685043	0.695185	
61	0.685005	0.695191	
62	0.684934	0.695210	
