=== LightGBM learning curve (binary_logloss) ===
train_period: 2022-01-01T00:00:00+00:00 .. 2024-04-01T00:00:00+00:00
eval_period: 2024-04-01T00:00:00+00:00 .. 2026-05-31T00:00:00+00:00
fit_rows: 29957
eval_rows: 36113
best_iteration: 15

iteration	train_logloss	eval_logloss	best
1	0.693031	0.693229	
2	0.692924	0.693220	
3	0.692832	0.693213	
4	0.692739	0.693204	
5	0.692635	0.693205	
6	0.692552	0.693201	
7	0.692455	0.693206	
8	0.692365	0.693212	
9	0.692282	0.693199	
10	0.692204	0.693187	
11	0.692119	0.693182	
12	0.692038	0.693180	
13	0.691968	0.693178	
14	0.691890	0.693175	
15	0.691816	0.693172	*
16	0.691767	0.693177	
17	0.691698	0.693181	
18	0.691633	0.693184	
19	0.691588	0.693184	
20	0.691546	0.693185	
21	0.691485	0.693198	
22	0.691435	0.693203	
23	0.691376	0.693212	
24	0.691316	0.693204	
25	0.691260	0.693218	
26	0.691217	0.693218	
27	0.691171	0.693236	
28	0.691129	0.693239	
29	0.691074	0.693236	
30	0.691018	0.693244	
31	0.690976	0.693255	
32	0.690940	0.693259	
33	0.690905	0.693265	
34	0.690867	0.693278	
35	0.690834	0.693284	
36	0.690791	0.693282	
37	0.690760	0.693290	
38	0.690725	0.693292	
39	0.690685	0.693294	
40	0.690650	0.693309	
41	0.690622	0.693318	
42	0.690595	0.693327	
43	0.690563	0.693331	
44	0.690541	0.693333	
45	0.690507	0.693349	
46	0.690482	0.693359	
47	0.690451	0.693362	
48	0.690428	0.693370	
49	0.690395	0.693379	
50	0.690367	0.693383	
51	0.690332	0.693403	
52	0.690310	0.693414	
53	0.690284	0.693416	
54	0.690255	0.693431	
55	0.690226	0.693430	
56	0.690202	0.693441	
57	0.690182	0.693447	
58	0.690161	0.693463	
59	0.690138	0.693482	
60	0.690109	0.693485	
61	0.690085	0.693498	
62	0.690068	0.693506	
63	0.690037	0.693509	
64	0.690016	0.693528	
65	0.690000	0.693533	
